row_i,col_j,value
0,0,-399.0
0,1,400.0
0,2,400.0
0,3,400.0
0,4,400.0
0,5,400.0
0,6,400.0
0,7,400.0
0,8,3.0
0,14,400.0
0,15,1.0
0,21,400.0
0,22,2.0
0,28,400.0
0,29,2.0
0,35,400.0
0,36,1.0
0,42,400.0
0,43,3.0
1,1,-400.0
1,2,400.0
1,3,400.0
1,4,400.0
1,5,400.0
1,6,400.0
1,7,3.0
1,8,400.0
1,9,3.0
1,14,1.0
1,15,400.0
1,16,1.0
1,21,2.0
1,22,400.0
1,23,2.0
1,28,2.0
1,29,400.0
1,30,2.0
1,35,1.0
1,36,400.0
1,37,1.0
1,42,3.0
1,43,400.0
1,44,3.0
2,2,-400.0
2,3,400.0
2,4,400.0
2,5,400.0
2,6,400.0
2,8,3.0
2,9,400.0
2,10,3.0
2,15,1.0
2,16,400.0
2,17,1.0
2,22,2.0
2,23,400.0
2,24,2.0
2,29,2.0
2,30,400.0
2,31,2.0
2,36,1.0
2,37,400.0
2,38,1.0
2,43,3.0
2,44,400.0
2,45,3.0
3,3,-400.0
3,4,400.0
3,5,400.0
3,6,400.0
3,9,3.0
3,10,400.0
3,11,3.0
3,16,1.0
3,17,400.0
3,18,1.0
3,23,2.0
3,24,400.0
3,25,2.0
3,30,2.0
3,31,400.0
3,32,2.0
3,37,1.0
3,38,400.0
3,39,1.0
3,44,3.0
3,45,400.0
3,46,3.0
4,4,-400.0
4,5,400.0
4,6,400.0
4,10,3.0
4,11,400.0
4,12,3.0
4,17,1.0
4,18,400.0
4,19,1.0
4,24,2.0
4,25,400.0
4,26,2.0
4,31,2.0
4,32,400.0
4,33,2.0
4,38,1.0
4,39,400.0
4,40,1.0
4,45,3.0
4,46,400.0
4,47,3.0
5,5,-400.0
5,6,400.0
5,11,3.0
5,12,400.0
5,13,3.0
5,18,1.0
5,19,400.0
5,20,1.0
5,25,2.0
5,26,400.0
5,27,2.0
5,32,2.0
5,33,400.0
5,34,2.0
5,39,1.0
5,40,400.0
5,41,1.0
5,46,3.0
5,47,400.0
5,48,3.0
6,6,-399.0
6,12,3.0
6,13,400.0
6,19,1.0
6,20,400.0
6,26,2.0
6,27,400.0
6,33,2.0
6,34,400.0
6,40,1.0
6,41,400.0
6,47,3.0
6,48,400.0
7,7,-396.0
7,8,400.0
7,9,400.0
7,10,400.0
7,11,400.0
7,12,400.0
7,13,400.0
7,14,400.0
7,15,2.0
7,21,400.0
7,22,1.0
7,28,400.0
7,29,2.0
7,35,400.0
7,36,3.0
7,42,400.0
7,43,1.0
8,8,-400.0
8,9,400.0
8,10,400.0
8,11,400.0
8,12,400.0
8,13,400.0
8,14,2.0
8,15,400.0
8,16,2.0
8,21,1.0
8,22,400.0
8,23,1.0
8,28,2.0
8,29,400.0
8,30,2.0
8,35,3.0
8,36,400.0
8,37,3.0
8,42,1.0
8,43,400.0
8,44,1.0
9,9,-400.0
9,10,400.0
9,11,400.0
9,12,400.0
9,13,400.0
9,15,2.0
9,16,400.0
9,17,2.0
9,22,1.0
9,23,400.0
9,24,1.0
9,29,2.0
9,30,400.0
9,31,2.0
9,36,3.0
9,37,400.0
9,38,3.0
9,43,1.0
9,44,400.0
9,45,1.0
10,10,-400.0
10,11,400.0
10,12,400.0
10,13,400.0
10,16,2.0
10,17,400.0
10,18,2.0
10,23,1.0
10,24,400.0
10,25,1.0
10,30,2.0
10,31,400.0
