row_i,col_j,value
0,0,-56
0,1,40
0,2,40
0,3,40
0,4,40
0,5,40
0,6,40
0,7,40
0,8,40
0,9,40
0,10,40
0,11,40
0,12,40
0,13,40
0,14,40
0,15,40
0,30,40
0,45,40
0,60,40
0,75,40
0,90,40
0,105,40
0,120,40
0,135,40
0,150,40
0,165,40
0,180,40
0,195,40
0,210,40
1,1,-56
1,2,40
1,3,40
1,4,40
1,5,40
1,6,40
1,7,40
1,8,40
1,9,40
1,10,40
1,11,40
1,12,40
1,13,40
1,14,40
1,16,40
1,31,40
1,46,40
1,61,40
1,76,40
1,91,40
1,106,40
1,121,40
1,136,40
1,151,40
1,166,40
1,181,40
1,196,40
1,211,40
2,2,-56
2,3,40
2,4,40
2,5,40
2,6,40
2,7,40
2,8,40
2,9,40
2,10,40
2,11,40
2,12,40
2,13,40
2,14,40
2,17,40
2,32,40
2,47,40
2,62,40
2,77,40
2,92,40
2,107,40
2,122,40
2,137,40
2,152,40
2,167,40
2,182,40
2,197,40
2,212,40
3,3,-56
3,4,40
3,5,40
3,6,40
3,7,40
3,8,40
3,9,40
3,10,40
3,11,40
3,12,40
3,13,40
3,14,40
3,18,40
3,33,40
3,48,40
3,63,40
3,78,40
3,93,40
3,108,40
3,123,40
3,138,40
3,153,40
3,168,40
3,183,40
3,198,40
3,213,40
4,4,-56
4,5,40
4,6,40
4,7,40
4,8,40
4,9,40
4,10,40
4,11,40
4,12,40
4,13,40
4,14,40
4,19,40
4,34,40
4,49,40
4,64,40
4,79,40
4,94,40
4,109,40
4,124,40
4,139,40
4,154,40
4,169,40
4,184,40
4,199,40
4,214,40
5,5,-56
5,6,40
5,7,40
5,8,40
5,9,40
5,10,40
5,11,40
5,12,40
5,13,40
5,14,40
5,20,40
5,35,40
5,50,40
5,65,40
5,80,40
5,95,40
5,110,40
5,125,40
5,140,40
5,155,40
5,170,40
5,185,40
5,200,40
5,215,40
6,6,-56
6,7,40
6,8,40
6,9,40
6,10,40
6,11,40
6,12,40
6,13,40
6,14,40
6,21,40
6,36,40
6,51,40
6,66,40
6,81,40
6,96,40
6,111,40
6,126,40
6,141,40
6,156,40
6,171,40
6,186,40
6,201,40
6,216,40
7,7,-56
7,8,40
7,9,40
7,10,40
7,11,40
7,12,40
7,13,40
7,14,40
7,22,40
7,37,40
7,52,40
7,67,40
7,82,40
7,97,40
7,112,40
7,127,40
7,142,40
7,157,40
7,172,40
7,187,40
7,202,40
7,217,40
8,8,-56
8,9,40
8,10,40
8,11,40
8,12,40
8,13,40
8,14,40
8,23,40
8,38,40
8,53,40
8,68,40
8,83,40
8,98,40
8,113,40
8,128,40
8,143,40
8,158,40
8,173,40
8,188,40
8,203,40
8,218,40
9,9,-56
9,10,40
9,11,40
9,12,40
9,13,40
9,14,40
9,24,40
9,39,40
9,54,40
9,69,40
9,84,40
9,99,40
9,114,40
9,129,40
9,144,40
9,159,40
9,174,40
9,189,40
9,204,40
9,219,40
10,10,-56
10,11,40
10,12,40
10,13,40
10,14,40
10,25,40
10,40,40
10,55,40
10,70,40
10,85,40
10,100,40
10,115,40
10,130,40
10,145,40
10,160,40
10,175,40
10,190,40
10,205,40
10,220,40
11,11,-56
11,12,40
11,13,40
11,14,40
11,26,40
11,41,40
11,56,40
11,71,40
11,86,40
11,101,40
11,116,40
11,131,40
11,146,40
11,161,40
11,176,40
11,191,40
11,206,40
11,221,40
12,12,-56
12,13,40
12,14,40
12,27,40
12,42,40
12,57,40
12,72,40
12,87,40
12,102,40
12,117,40
12,132,40
12,147,40
12,162,40
12,177,40
12,192,40
12,207,40
12,222,40
13,13,-56
13,14,40
13,28,40
13,43,40
13,58,40
13,73,40
13,88,40
13,103,40
13,118,40
13,133,40
13,148,40
13,163,40
13,178,40
13,193,40
13,208,40
13,223,40
14,14,-56
14,29,40
14,44,40
14,59,40
14,74,40
14,89,40
14,104,40
14,119,40
14,134,40
14,149,40
14,164,40
14,179,40
14,194,40
14,209,40
14,224,40
15,15,-56
15,16,40
15,17,40
15,18,40
15,19,40
15,20,40
15,21,40
15,22,40
15,23,40
15,24,40
15,25,40
15,26,40
15,27,40
15,28,40
15,29,40
15,30,40
15,45,40
15,60,40
15,75,40
15,90,40
15,105,40
15,120,40
15,135,40
15,150,40
15,165,40
15,180,40
15,195,40
15,210,40
16,16,-52
16,17,40
16,18,40
16,19,40
16,20,40
16,21,40
16,22,40
16,23,40
16,24,40
16,25,40
16,26,40
16,27,40
16,28,40
16,29,40
16,31,40
16,46,40
16,61,40
16,76,40
16,91,40
16,106,40
16,121,40
16,136,40
16,151,40
16,166,40
16,181,40
16,196,40
16,211,40
17,17,-52
17,18,40
17,19,40
17,20,40
17,21,40
17,22,40
17,23,40
17,24,40
17,25,40
17,26,40
17,27,40
17,28,40
17,29,40
17,32,40
17,47,40
17,62,40
17,77,40
17,92,40
17,107,40
17,122,40
17,137,40
17,152,40
17,167,40
17,182,40
17,197,40
17,212,40
18,18,-52
18,19,40
18,20,40
18,21,40
18,22,40
18,23,40
18,24,40
18,25,40
18,26,40
18,27,40
18,28,40
18,29,40
18,33,40
18,48,40
18,63,40
18,78,40
18,93,40
18,108,40
18,123,40
18,138,40
18,153,40
18,168,40
18,183,40
18,198,40
18,213,40
19,19,-52
19,20,40
19,21,40
19,22,40
19,23,40
19,24,40
19,25,40
19,26,40
19,27,40
19,28,40
19,29,40
19,34,40
19,49,40
19,64,40
19,79,40
19,94,40
19,109,40
19,124,40
19,139,40
19,154,40
19,169,40
19,184,40
19,199,40
19,214,40
20,20,-52
20,21,40
20,22,40
20,23,40
20,24,40
20,25,40
20,26,40
20,27,40
20,28,40
20,29,40
20,35,40
20,50,40
20,65,40
20,80,40
20,95,40
20,110,40
20,125,40
20,140,40
20,155,40
20,170,40
20,185,40
20,200,40
20,215,40
21,21,-52
21,22,40
21,23,40
21,24,40
21,25,40
21,26,40
21,27,40
21,28,40
21,29,40
21,36,40
21,51,40
21,66,40
21,81,40
21,96,40
21,111,40
21,126,40
21,141,40
21,156,40
21,171,40
21,186,40
21,201,40
21,216,40
22,22,-52
22,23,40
22,24,40
22,25,40
22,26,40
22,27,40
22,28,40
22,29,40
22,37,40
22,52,40
22,67,40
22,82,40
22,97,40
22,112,40
22,127,40
22,142,40
22,157,40
22,172,40
22,187,40
22,202,40
22,217,40
23,23,-52
23,24,40
23,25,40
23,26,40
23,27,40
