A,T0,seed,n_unique,n_feasible,feas_rate,best_cost,best_qubo,time_sec
50.0,20.0,20260426,192,1,0.005208333333333333,61.0,69226.0,0.537
50.0,20.0,20260427,200,1,0.005,67.0,69237.0,0.568
50.0,20.0,20260428,153,1,0.006535947712418301,68.0,69240.0,0.557
50.0,50.0,20260436,200,1,0.005,66.0,69236.0,0.634
50.0,50.0,20260437,200,1,0.005,63.0,69227.0,0.611
50.0,50.0,20260438,200,1,0.005,61.0,69224.0,0.625
50.0,100.0,20260446,200,1,0.005,66.0,69232.0,0.65
50.0,100.0,20260447,200,1,0.005,64.0,69229.0,0.684
50.0,100.0,20260448,200,1,0.005,56.0,69216.0,0.67
50.0,200.0,20260456,200,1,0.005,68.0,69239.0,0.726
50.0,200.0,20260457,200,1,0.005,58.0,69217.0,0.742
50.0,200.0,20260458,200,1,0.005,63.0,69227.0,0.732
50.0,500.0,20260466,200,2,0.01,71.0,69243.0,0.79
50.0,500.0,20260467,200,2,0.01,53.0,69206.0,0.832
50.0,500.0,20260468,200,1,0.005,65.0,69231.0,0.817
100.0,20.0,20260526,177,1,0.005649717514124294,57.0,135217.0,0.529
100.0,20.0,20260527,183,1,0.00546448087431694,65.0,135231.0,0.572
100.0,20.0,20260528,143,1,0.006993006993006993,66.0,135237.0,0.576
100.0,50.0,20260536,200,1,0.005,57.0,135217.0,0.647
100.0,50.0,20260537,200,1,0.005,62.0,135226.0,0.604
100.0,50.0,20260538,200,1,0.005,68.0,135237.0,0.621
100.0,100.0,20260546,200,1,0.005,66.0,135235.0,0.655
100.0,100.0,20260547,200,1,0.005,68.0,135240.0,0.641
100.0,100.0,20260548,200,1,0.005,72.0,135245.0,0.639
100.0,200.0,20260556,200,1,0.005,54.0,135209.0,0.713
100.0,200.0,20260557,200,1,0.005,73.0,135249.0,0.738
100.0,200.0,20260558,200,1,0.005,73.0,135247.0,0.734
100.0,500.0,20260566,200,1,0.005,61.0,135224.0,0.806
100.0,500.0,20260567,200,1,0.005,70.0,135241.0,0.774
100.0,500.0,20260568,200,1,0.005,59.0,135220.0,0.79
150.0,20.0,20260626,200,1,0.005,61.0,201223.0,0.547
150.0,20.0,20260627,142,1,0.007042253521126761,63.0,201228.0,0.557
150.0,20.0,20260628,200,1,0.005,58.0,201219.0,0.56
150.0,50.0,20260636,200,1,0.005,72.0,201246.0,0.626
150.0,50.0,20260637,200,1,0.005,56.0,201215.0,0.584
150.0,50.0,20260638,193,1,0.0051813471502590676,63.0,201227.0,0.6
150.0,100.0,20260646,200,1,0.005,59.0,201223.0,0.627
150.0,100.0,20260647,200,2,0.01,64.0,201230.0,0.629
150.0,100.0,20260648,200,1,0.005,57.0,201215.0,0.661
150.0,200.0,20260656,200,1,0.005,56.0,201217.0,0.77
150.0,200.0,20260657,200,1,0.005,56.0,201214.0,0.827
150.0,200.0,20260658,200,1,0.005,63.0,201227.0,0.748
150.0,500.0,20260666,200,1,0.005,59.0,201221.0,0.805
150.0,500.0,20260667,200,1,0.005,66.0,201232.0,0.815
150.0,500.0,20260668,200,1,0.005,64.0,201229.0,0.748
200.0,20.0,20260726,145,1,0.006896551724137931,65.0,267232.0,0.552
200.0,20.0,20260727,200,1,0.005,68.0,267239.0,0.571
200.0,20.0,20260728,167,1,0.005988023952095809,63.0,267227.0,0.549
200.0,50.0,20260736,156,1,0.00641025641025641,68.0,267237.0,0.6
200.0,50.0,20260737,200,1,0.005,57.0,267220.0,0.619
200.0,50.0,20260738,183,1,0.00546448087431694,67.0,267235.0,0.632
200.0,100.0,20260746,200,1,0.005,74.0,267250.0,0.655
200.0,100.0,20260747,200,1,0.005,64.0,267230.0,0.618
200.0,100.0,20260748,200,1,0.005,62.0,267227.0,0.627
200.0,200.0,20260756,200,1,0.005,64.0,267231.0,0.668
200.0,200.0,20260757,200,1,0.005,59.0,267218.0,0.699
200.0,200.0,20260758,200,1,0.005,57.0,267217.0,0.675
200.0,500.0,20260766,200,3,0.015,59.0,267222.0,0.748
200.0,500.0,20260767,200,2,0.01,53.0,267207.0,0.753
200.0,500.0,20260768,200,2,0.01,67.0,267235.0,0.764
300.0,20.0,20260826,189,1,0.005291005291005291,64.0,399229.0,0.55
300.0,20.0,20260827,178,1,0.0056179775280898875,71.0,399244.0,0.541
300.0,20.0,20260828,181,1,0.0055248618784530384,51.0,399205.0,0.568
300.0,50.0,20260836,119,1,0.008403361344537815,68.0,399239.0,0.626
300.0,50.0,20260837,168,1,0.005952380952380952,65.0,399232.0,0.615
300.0,50.0,20260838,200,1,0.005,57.0,399215.0,0.584
300.0,100.0,20260846,200,1,0.005,56.0,399212.0,0.639
300.0,100.0,20260847,183,1,0.00546448087431694,69.0,399240.0,0.644
300.0,100.0,20260848,200,1,0.005,64.0,399229.0,0.637
300.0,200.0,20260856,200,1,0.005,66.0,399234.0,0.681
300.0,200.0,20260857,200,1,0.005,64.0,399233.0,0.689
300.0,200.0,20260858,200,1,0.005,61.0,399226.0,0.697
300.0,500.0,20260866,200,1,0.005,59.0,399221.0,0.737
300.0,500.0,20260867,200,1,0.005,54.0,399211.0,0.765
300.0,500.0,20260868,200,1,0.005,64.0,399230.0,0.745
