customer,arrive,tw_a,tw_b,early,late,penalty,service,depart
40,1.0,7.0,17.0,6.0,0.0,360.0,2.0,3.0
2,4.0,3.0,12.0,0.0,0.0,0.0,2.0,6.0
21,7.0,5.0,13.0,0.0,0.0,0.0,2.0,9.0
26,10.0,15.0,20.0,5.0,0.0,250.0,2.0,12.0
12,13.0,5.0,13.0,0.0,0.0,0.0,2.0,15.0
28,16.0,1.0,10.0,0.0,6.0,720.0,2.0,18.0
27,19.0,1.0,20.0,0.0,0.0,0.0,2.0,21.0
1,22.0,17.0,26.0,0.0,0.0,0.0,2.0,24.0
31,25.0,3.0,11.0,0.0,14.0,3920.0,2.0,27.0
7,28.0,9.0,14.0,0.0,14.0,3920.0,2.0,30.0
19,31.0,7.0,14.0,0.0,17.0,5780.0,2.0,33.0
48,34.0,16.0,25.0,0.0,9.0,1620.0,2.0,36.0
8,37.0,8.0,18.0,0.0,19.0,7220.0,2.0,39.0
18,40.0,10.0,14.0,0.0,26.0,13520.0,2.0,42.0
5,43.0,3.0,14.0,0.0,29.0,16820.0,2.0,45.0
6,46.0,7.0,20.0,0.0,26.0,13520.0,2.0,48.0
37,49.0,15.0,21.0,0.0,28.0,15680.0,2.0,51.0
42,52.0,3.0,22.0,0.0,30.0,18000.0,2.0,54.0
15,55.0,4.0,20.0,0.0,35.0,24500.0,2.0,57.0
43,58.0,15.0,21.0,0.0,37.0,27380.0,2.0,60.0
14,61.0,4.0,18.0,0.0,43.0,36980.0,2.0,63.0
38,64.0,5.0,19.0,0.0,45.0,40500.0,2.0,66.0
44,67.0,4.0,18.0,0.0,49.0,48020.0,2.0,69.0
16,70.0,7.0,14.0,0.0,56.0,62720.0,2.0,72.0
17,73.0,7.0,25.0,0.0,48.0,46080.0,2.0,75.0
45,76.0,4.0,25.0,0.0,51.0,52020.0,2.0,78.0
46,79.0,12.0,20.0,0.0,59.0,69620.0,2.0,81.0
47,82.0,4.0,15.0,0.0,67.0,89780.0,2.0,84.0
36,85.0,5.0,23.0,0.0,62.0,76880.0,2.0,87.0
49,88.0,12.0,17.0,0.0,71.0,100820.0,2.0,90.0
11,92.0,4.0,20.0,0.0,72.0,103680.0,2.0,94.0
10,95.0,13.0,20.0,0.0,75.0,112500.0,2.0,97.0
30,98.0,4.0,16.0,0.0,82.0,134480.0,2.0,100.0
32,101.0,15.0,23.0,0.0,78.0,121680.0,2.0,103.0
20,104.0,14.0,20.0,0.0,84.0,141120.0,2.0,106.0
9,107.0,7.0,20.0,0.0,87.0,151380.0,2.0,109.0
34,110.0,13.0,19.0,0.0,91.0,165620.0,2.0,112.0
35,113.0,7.0,23.0,0.0,90.0,162000.0,2.0,115.0
33,117.0,3.0,23.0,0.0,94.0,176720.0,2.0,119.0
50,120.0,14.0,20.0,0.0,100.0,200000.0,2.0,122.0
3,123.0,14.0,18.0,0.0,105.0,220500.0,2.0,125.0
29,126.0,5.0,13.0,0.0,113.0,255380.0,2.0,128.0
24,129.0,15.0,25.0,0.0,104.0,216320.0,2.0,131.0
25,133.0,6.0,24.0,0.0,109.0,237620.0,2.0,135.0
4,136.0,9.0,25.0,0.0,111.0,246420.0,2.0,138.0
39,139.0,4.0,24.0,0.0,115.0,264500.0,2.0,141.0
23,142.0,5.0,20.0,0.0,122.0,297680.0,2.0,144.0
22,145.0,8.0,19.0,0.0,126.0,317520.0,2.0,147.0
41,148.0,6.0,21.0,0.0,127.0,322580.0,2.0,150.0
13,153.0,9.0,27.0,0.0,126.0,317520.0,2.0,155.0
